epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,26532.5,1.29922,2.15568,0.95891,1.03929,0,0.50957,0.35265,0.36753,0.19721,0.45773,0.32697,0.31931,0.13928,1.26316,2.02355,6.87707,0.88485,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,27341.3,1.298,2.14852,0.95386,1.03906,0,0.47515,0.36967,0.36638,0.19744,0.4395,0.33858,0.32026,0.13948,1.26204,2.02054,7.77494,0.884,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,28127,1.29516,2.14343,0.94931,1.0351,0,0.48556,0.36706,0.36814,0.19834,0.45416,0.33301,0.32219,0.1405,1.26248,2.0193,8.27788,0.88402,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,28945.2,1.2849,2.1325,0.94062,1.03366,0,0.46853,0.36315,0.3679,0.19812,0.44957,0.33128,0.32348,0.14119,1.26375,2.02801,7.4828,0.88261,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,29701,1.27994,2.12061,0.93438,1.03282,0,0.47095,0.37052,0.36998,0.1994,0.45225,0.32805,0.32447,0.14129,1.26149,2.02305,7.43121,0.88188,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,30424.5,1.27192,2.10737,0.9254,1.02969,0,0.47802,0.36416,0.37072,0.20007,0.45004,0.32877,0.32348,0.14191,1.26102,2.01997,7.24839,0.88249,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,31149.1,1.27187,2.10915,0.92649,1.02859,0,0.47055,0.36925,0.36979,0.19955,0.44578,0.337,0.32456,0.1414,1.26122,2.01726,6.5547,0.88096,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,31874,1.2688,2.10269,0.91822,1.02573,0,0.48222,0.36104,0.36927,0.1991,0.47121,0.32298,0.32198,0.14088,1.2591,2.01841,6.19595,0.8801,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,32598.5,1.25826,2.08839,0.90943,1.02302,0,0.47405,0.36717,0.36945,0.19906,0.4537,0.3299,0.32159,0.14054,1.25749,2.01808,5.9424,0.87993,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,33324.2,1.25834,2.08725,0.90577,1.02035,0,0.47613,0.36883,0.37011,0.19978,0.45075,0.3329,0.32274,0.14097,1.25675,2.01969,6.09908,0.88,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
